Image filename,Noisy vs GT PSNR,Prediction vs GT PSNR,Noisy vs GT SSIM,Prediction vs GT SSIM
clean_9.tiff,17.11353189,20.4903901,0.522889161,0.523781712
clean_1.tiff,19.59549362,25.83445761,0.330606162,0.734075334
clean_3.tiff,8.586636498,19.12942068,0.185630707,0.696119703
clean_4.tiff,8.633363226,20.11035038,0.126417911,0.739891023
clean_2.tiff,14.79253695,20.07814102,0.292540944,0.723902068
clean_8.tiff,17.02009468,18.93060288,0.591527761,0.657322765
clean_7.tiff,17.39995319,20.18191252,0.34484937,0.755013735
clean_10.tiff,16.94105291,25.79582273,0.286015522,0.784393948
clean_6.tiff,19.11363338,21.20003664,0.405282992,0.665187816
clean_5.tiff,18.52282755,20.19079647,0.205718061,0.739082351
,,,,
Average,15.77191239,21.1941931,0.329147859,0.701877046
